epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,27447.3,1.87609,1.44857,2.22991,0.81058,0.74966,0.83367,0.6847,1.53189,1.42813,2.20422,0.0023275,0.0023275,0.0023275
157,27622.8,1.86723,1.43123,2.22193,0.81234,0.74891,0.83373,0.68457,1.53257,1.4274,2.20407,0.002278,0.002278,0.002278
158,27798.6,1.85088,1.42806,2.22236,0.80121,0.75495,0.83313,0.68455,1.53219,1.42917,2.20403,0.0022285,0.0022285,0.0022285
159,27974.2,1.84104,1.40218,2.20974,0.81172,0.74714,0.83363,0.68477,1.53213,1.42908,2.20442,0.002179,0.002179,0.002179
160,28150,1.84987,1.42348,2.2198,0.80946,0.74778,0.83288,0.68409,1.53207,1.43075,2.20442,0.0021295,0.0021295,0.0021295
161,28325.8,1.84918,1.41165,2.21813,0.81085,0.74515,0.83339,0.68445,1.53167,1.43203,2.20409,0.00208,0.00208,0.00208
162,28501.3,1.85317,1.42271,2.21632,0.81203,0.74369,0.8332,0.68412,1.53184,1.43313,2.20433,0.0020305,0.0020305,0.0020305
163,28676.5,1.82356,1.39221,2.20981,0.81295,0.74453,0.83376,0.68437,1.53193,1.43354,2.20437,0.001981,0.001981,0.001981
164,28851.9,1.83681,1.39229,2.21064,0.8131,0.74398,0.83288,0.68365,1.53181,1.43501,2.20474,0.0019315,0.0019315,0.0019315
165,29027.4,1.83571,1.39812,2.21375,0.81269,0.74377,0.83317,0.68403,1.53272,1.43562,2.20532,0.001882,0.001882,0.001882
166,29203.4,1.84553,1.4013,2.20816,0.81518,0.74348,0.83374,0.68433,1.53239,1.4356,2.20539,0.0018325,0.0018325,0.0018325
167,29379.3,1.84186,1.39577,2.20408,0.81565,0.74185,0.83329,0.68379,1.53277,1.43571,2.20592,0.001783,0.001783,0.001783
168,29555.1,1.84556,1.39271,2.21506,0.81246,0.74628,0.83306,0.68346,1.53332,1.43613,2.20629,0.0017335,0.0017335,0.0017335
169,29730.6,1.81685,1.37729,2.19213,0.81572,0.74327,0.83255,0.68282,1.53347,1.43686,2.20616,0.001684,0.001684,0.001684
