epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1757.43,0.68121,0.60855,1.00805,0.90675,0.79423,0.90887,0.78486,0.62112,0.61763,1.07866,0.0012179,0.0012179,0.0012179
81,1779.35,0.68084,0.58584,0.99874,0.90041,0.80941,0.90557,0.78732,0.58161,0.59582,1.04466,0.001208,0.001208,0.001208
82,1801.24,0.69085,0.59067,1.00369,0.86627,0.83168,0.90877,0.79656,0.58039,0.6312,1.05527,0.0011981,0.0011981,0.0011981
83,1823.18,0.68232,0.58951,1.01241,0.90401,0.79261,0.90342,0.78803,0.59217,0.60209,1.05202,0.0011882,0.0011882,0.0011882
84,1845.12,0.69817,0.60812,1.01925,0.86421,0.88215,0.92765,0.80682,0.58512,0.56458,1.04484,0.0011783,0.0011783,0.0011783
85,1867.06,0.68359,0.59948,1.01238,0.84976,0.86634,0.90249,0.78931,0.58805,0.60145,1.06197,0.0011684,0.0011684,0.0011684
86,1888.99,0.67146,0.57317,0.99745,0.88084,0.85997,0.91848,0.80481,0.58764,0.5758,1.05292,0.0011585,0.0011585,0.0011585
87,1910.88,0.68184,0.57561,1.00173,0.85511,0.86187,0.91588,0.80154,0.59613,0.60086,1.07614,0.0011486,0.0011486,0.0011486
88,1932.77,0.67814,0.58925,1.00157,0.8923,0.84078,0.90716,0.7888,0.59848,0.60234,1.07188,0.0011387,0.0011387,0.0011387
89,1954.73,0.66273,0.56923,0.99833,0.8948,0.82921,0.90725,0.79166,0.58548,0.61586,1.05771,0.0011288,0.0011288,0.0011288
90,1976.6,0.67395,0.58331,1.00587,0.84713,0.86418,0.91021,0.80072,0.57152,0.58989,1.04374,0.0011189,0.0011189,0.0011189
91,1998.52,0.65738,0.55642,1.00373,0.88848,0.84795,0.91706,0.80828,0.58166,0.56705,1.05653,0.001109,0.001109,0.001109
92,2020.45,0.65469,0.55961,0.99004,0.90438,0.84406,0.91335,0.79937,0.58813,0.57336,1.0594,0.0010991,0.0010991,0.0010991
